17,马家堡角门此房满五年家庭名下唯一住房低楼层采光好。,418,61525,non_co_ownership,67.94,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,3,"('116.95994439296653e', '39.53008920713984w')",None,None,None,None
18,马家堡 角门 南北通透大三居 中间楼层 满五年唯一住房,750,56673,non_co_ownership,132.34,flat_floor,banta_combination,steel_concrete_structure,simple_decoration,0.5,self_heating,elevator,Fengtai,Corner_Gate,1,1,2,middle_floor,11,no,south,no,north,no,no,no,no,3,"('116.8765916552875e', '40.73252633566638w')",None,None,None,None
19,马家堡 大红门35号院 南北朝向 正规两居,240,36370,non_co_ownership,65.99,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,basement,6,no,south,no,north,no,no,no,no,2,"('115.7477963006209e', '39.18769284802719w')",None,None,None,None
20,司达小区3居，南北通透，2层/6层,319,56005,non_co_ownership,56.96,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,east,south,no,north,no,no,no,no,3,"('115.26956122464749e', '40.68705964836712w')",None,None,None,None
21,10号线角门东怡然家园6号院带电梯商品房两居室诚心卖,316,58368,non_co_ownership,54.14,flat_floor,Banlou,mixed_structure,simple_decoration,0.25,self_heating,elevator,Fengtai,Corner_Gate,1,1,1,high_floor,6,east,no,west,north,no,no,no,no,2,"('116.26958259028241e', '39.76453978969462w')",None,None,None,None
22,满五年，双地铁，4号线和10号线,259,44942,co_ownership,57.63,flat_floor,tower,steel_concrete_structure,simple_decoration,0.166666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,bottom_floor,18,no,no,west,no,no,no,no,no,1,"('115.11336216680361e', '40.40148812511213w')",None,None,None,None
23,4+10号线角门西地铁，全南向两居室，无遮挡，采光好,510,56373,non_co_ownership,90.47,flat_floor,banta_combination,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,high_floor,15,no,south,no,no,no,no,no,no,2,"('116.18287613178464e', '40.57416973672456w')",None,None,None,None
24,10号线角门东大红门35号院低楼层两居室商品房诚心售,360,53350,non_co_ownership,67.48,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,east,no,west,no,no,no,no,no,2,"('116.7707922067209e', '39.69282272994091w')",None,None,None,None
25,康缘居 南北通透 两居室 带电梯 楼龄新 房本满五年,455,50924,non_co_ownership,89.35,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.222222222,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,14,no,south,no,north,no,no,no,no,2,"('116.36570667489873e', '40.99523482085573w')",None,None,None,None
26,西马场路6号院 有钥匙商品房 诚意出售,570,50479,non_co_ownership,112.92,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.333333333,self_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,14,no,south,no,north,no,no,no,no,2,"('116.85706244337707e', '39.071672811376146w')",None,None,None,None
27,角门东里 满五唯一 诚心出售 10号线4号线角门西地铁,447,52601,non_co_ownership,84.98,flat_floor,tower,steel_concrete_structure,hardcover,0.166666667,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,18,no,no,no,no,no,northeast,no,no,2,"('116.42145500243909e', '39.22778113050999w')",None,None,None,None
28,马家堡角门 低楼层 西南两居 交通便利,310,60547,non_co_ownership,51.2,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,no,no,no,no,no,southwest,no,2,"('115.5175600345205e', '40.5547021698483w')",None,None,None,None
29,角门 洋桥 角门东里 满五 全明格局,335,56021,non_co_ownership,59.8,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,2,"('115.70616020647455e', '39.63572041765421w')",None,None,None,None
30,马家堡  角门  精装修  复式格局  南北通透  近地铁,460,69877,non_co_ownership,65.83,duplex,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,2,1,2,top_floor,6,no,south,no,north,no,no,no,no,3,"('116.07671975636887e', '40.196503852185316w')",None,None,None,None
31,房子满五年唯一，精装修，近地铁，交通便利，楼龄新,608,60552,non_co_ownership,100.41,flat_floor,banta_combination,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,bottom_floor,14,no,south,no,north,no,no,no,no,2,"('116.42268396776218e', '39.816903770632926w')",None,None,None,None
32,角门，阳光花园，人车分流，南北通透全明格局,1050,75698,non_co_ownership,138.71,flat_floor,Banlou,steel_concrete_structure,simple_decoration,1,central_heating,elevator,Fengtai,Corner_Gate,1,1,2,high_floor,19,no,south,no,north,no,no,no,no,3,"('116.90045638459566e', '40.98712758648232w')",None,None,None,None
33,角门甲4号院 精装修 南向采光无遮挡 近地铁10号线诚售,280,65011,non_co_ownership,43.07,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,no,no,no,no,no,1,"('116.01600353384502e', '40.03920705796601w')",None,None,None,None
34,马家堡商圈 角门东里 南北通透 满五年唯一 近10号线,329,62667,non_co_ownership,52.5,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,north,no,no,no,no,2,"('115.17630090159183e', '39.2056848780407w')",None,None,None,None
35,角门马家堡大红门精装复式怡然家园6号院,999,53142,co_ownership,187.99,duplex,banta_combination,steel_concrete_structure,hardcover,0.5,self_heating,elevator,Fengtai,Corner_Gate,2,1,2,top_floor,11,no,south,no,north,no,no,no,no,3,"('116.30068891434178e', '39.64529381444537w')",None,None,None,None
36,大红门 西马场北里 南北通透两居室 满五唯一,339,62778,non_co_ownership,54,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,north,no,no,no,no,2,"('116.21475033660617e', '39.0138963086466w')",None,None,None,None
37,诚心出售 10号线角门东/4号线角门西地铁  角门东里,330,57292,non_co_ownership,57.6,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,2,"('116.91073869909502e', '39.42218010590958w')",None,None,None,None
38,洋桥 角门 马家堡 复式三居 满五唯一 南北通透近地铁,572,59858,non_co_ownership,95.56,duplex,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,2,1,2,top_floor,6,no,south,no,north,no,no,no,no,3,"('116.31964795798922e', '39.93369185754889w')",None,None,None,None
39,马家堡 枫南世嘉 满五年，电梯，采光好，格局方正,580,56278,non_co_ownership,103.06,flat_floor,banta_combination,steel_concrete_structure,simple_decoration,0.333333333,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,14,no,south,west,no,no,no,no,no,3,"('115.45786207504551e', '39.9798590924077w')",None,None,None,None
40,10号线马家堡角门东怡然家园满五唯一南北通透三居室,680,54188,non_co_ownership,125.49,flat_floor,Banlou,steel_concrete_structure,hardcover,0.5,self_heating,elevator,Fengtai,Corner_Gate,1,1,2,bottom_floor,11,no,south,no,north,no,no,no,no,3,"('115.31337123810123e', '39.278044403319214w')",None,None,None,None
41,精装修南北三居室，诚意出售，看房方便,458,55435,co_ownership,82.62,flat_floor,Banlou,mixed_structure,hardcover,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,north,no,no,no,no,3,"('115.71728683606514e', '40.239765915163225w')",None,None,None,None
42,角门 西马小区  南北通透 正规三居 带客厅 采光充足,468,54956,non_co_ownership,85.16,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,3,"('115.82219605728393e', '40.307343608102464w')",None,None,None,None
43,角门甲4号院 南北低楼层 视野开阔,330,59643,non_co_ownership,55.33,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,2,"('115.3031770240441e', '40.35520021162259w')",None,None,None,None
44,怡然家园6号院精装修大客厅复式  无遮挡无浪费,645,55503,non_co_ownership,116.21,duplex,Banlou,mixed_structure,hardcover,0.333333333,self_heating,no,Fengtai,Corner_Gate,1,1,2,middle_floor,6,no,south,no,no,no,no,no,no,2,"('116.16810650765744e', '39.756036476914055w')",None,None,None,None
45,首座绿洲 南向 三居室 中间层 采光好,780,61423,non_co_ownership,126.99,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,2,middle_floor,21,no,south,no,no,no,no,no,no,3,"('115.8244740970349e', '39.1031705508811w')",None,None,None,None
46,满五唯一，电梯，公摊小，户型好,892,53986,non_co_ownership,165.23,duplex,Banlou,mixed_structure,simple_decoration,0.333333333,self_heating,no,Fengtai,Corner_Gate,3,1,2,high_floor,7,no,south,no,north,no,no,no,no,4,"('116.69551421130092e', '40.84653699905953w')",None,None,None,None
47,马家堡 10号线角门东  正规两居室  南北通透 不临街,420,55748,non_co_ownership,75.34,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,self_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2,"('116.83985337680423e', '40.846656201577616w')",None,None,None,None
